year,month,pax_D,seats_D,flights_D,avg_fare_D,pax_I,LF_D,LF_I,seats_I,flights_I,avg_fare_I,competitors_price_D,competitors_price_I,month_rank
2000,January,48020,82000,420,25,32010,58.6,39.0,82000,310,55,18.08,27.12,12
2000,February,52015,85000,435,27,33500,61.2,40.5,84000,325,58,19.12,28.68,11
2000,March,61000,105000,510,29,40500,58.1,42.3,96000,410,62,20.84,31.26,10
2000,April,72300,115000,680,32,52000,62.9,54.2,105000,520,65,23.32,34.98,9
2000,May,88500,135000,720,34,63500,65.6,60.1,125000,630,68,25.48,38.22,6
2000,June,105200,155000,850,36,75200,67.9,64.8,145000,750,72,27.40,41.10,4
2000,July,120500,170000,920,38,88500,70.9,68.2,160000,820,75,29.16,43.74,3
2000,August,132800,185000,980,40,92000,71.8,70.5,175000,880,78,30.16,45.24,1
2000,September,98000,160000,800,37,78000,61.3,65.8,150000,720,70,27.28,40.92,2
2000,October,85400,140000,700,35,68000,61.0,62.5,130000,650,67,24.84,37.26,7
2000,November,72000,120000,600,31,55000,60.0,58.3,110000,580,63,23.56,35.34,5
2000,December,65400,110000,550,29,48000,59.5,52.7,100000,520,60,21.72,32.58,8
2001,January,52000,90000,450,26,35000,57.8,40.0,90000,330,56,18.60,27.90,12
2001,February,56000,93000,470,28,37000,60.2,42.5,92000,340,59,19.28,28.92,11
2001,March,65000,110000,530,30,42000,59.1,45.0,100000,420,63,21.24,31.86,10
2001,April,78000,120000,700,33,54000,65.0,54.0,110000,540,66,23.92,35.88,9
2001,May,95000,140000,750,35,67000,67.9,60.5,130000,660,69,26.08,39.12,6
2001,June,112000,160000,880,37,80000,70.0,65.0,150000,780,73,28.20,42.30,4
2001,July,128000,175000,950,39,92000,73.1,68.5,165000,850,76,29.92,44.88,3
2001,August,145000,200000,1050,36,105000,72.5,70.0,190000,950,80,31.32,46.98,1
2001,September,105000,170000,850,38,85000,61.8,66.0,160000,800,72,28.08,42.12,2
2001,October,90000,150000,730,34,72000,60.0,62.0,140000,700,68,25.80,38.70,7
2001,November,75000,130000,620,32,60000,57.7,58.0,120000,600,65,24.04,36.06,5
2001,December,68000,120000,580,30,52000,56.7,52.0,110000,550,62,22.72,34.08,8
2002,January,55000,95000,480,27,37000,57.9,41.0,95000,350,57,19.12,28.68,12
2002,February,59000,98000,500,29,39000,60.2,43.0,97000,360,60,19.80,29.70,11
2002,March,68000,115000,560,31,44000,59.1,46.0,105000,440,64,21.80,32.70,10
2002,April,81000,125000,730,34,57000,64.8,55.0,115000,560,67,24.48,36.72,9
2002,May,99000,145000,780,36,70000,68.3,61.0,135000,680,70,26.72,40.08,6
2002,June,118000,165000,910,38,84000,71.5,66.0,155000,800,74,28.84,43.26,4
2002,July,135000,180000,980,40,96000,75.0,69.0,170000,880,77,30.60,45.90,3
2002,August,152000,205000,1080,37,110000,74.1,71.0,195000,980,81,32.12,48.18,1
2002,September,110000,175000,880,39,89000,62.9,67.0,165000,840,73,28.72,43.08,2
2002,October,94000,155000,760,35,76000,60.6,63.0,145000,720,69,26.48,39.72,7
2002,November,78000,135000,650,33,63000,57.8,59.0,125000,620,66,24.60,36.90,5
2002,December,71000,125000,610,31,55000,56.8,53.0,115000,580,63,23.28,34.92,8
2003,January,57000,97000,490,28,38000,58.8,42.0,97000,360,58,19.40,29.10,12
2003,February,61000,100000,510,30,40000,61.0,44.0,99000,370,61,20.08,30.12,11
2003,March,70000,118000,570,32,46000,59.3,47.0,108000,450,65,22.32,33.48,10
2003,April,83000,128000,740,35,59000,64.8,56.0,118000,570,68,25.00,37.50,9
2003,May,101000,148000,790,37,72000,68.2,62.0,138000,690,71,27.28,40.92,6
2003,June,120000,168000,920,39,86000,71.4,67.0,158000,810,75,29.40,44.10,4
2003,July,138000,183000,990,41,98000,75.4,70.0,173000,890,78,31.12,46.68,3
2003,August,155000,208000,1090,38,112000,74.5,72.0,198000,990,82,32.64,48.96,1
2003,September,112000,178000,890,40,91000,62.9,68.0,168000,850,74,29.00,43.50,2
2003,October,96000,158000,770,36,78000,60.7,64.0,148000,730,70,27.00,40.50,7
2003,November,80000,138000,660,34,65000,57.9,60.0,128000,630,67,25.12,37.68,5
2003,December,73000,128000,620,32,57000,57.0,54.0,118000,590,64,23.80,35.70,8
2004,January,59000,100000,500,29,39000,59.0,43.0,100000,370,59,19.80,29.70,12
2004,February,63000,103000,520,31,41000,61.2,45.0,102000,380,62,20.48,30.72,11
2004,March,72000,121000,580,33,48000,59.5,48.0,111000,460,66,22.80,34.20,10
2004,April,85000,131000,750,36,61000,64.9,57.0,121000,580,69,25.52,38.28,9
2004,May,103000,151000,800,38,74000,68.2,63.0,141000,700,72,27.80,41.70,6
2004,June,122000,171000,930,40,88000,71.3,68.0,161000,820,76,29.92,44.88,4
2004,July,140000,186000,1000,42,100000,75.3,71.0,176000,900,79,31.52,47.28,3
2004,August,157000,211000,1100,39,114000,74.4,73.0,201000,1000,83,33.04,49.56,1
2004,September,114000,181000,900,41,93000,63.0,69.0,171000,860,75,29.40,44.10,2
2004,October,98000,161000,780,37,80000,60.8,65.0,151000,740,71,27.40,41.10,7
2004,November,82000,141000,670,35,67000,58.1,61.0,131000,640,68,25.52,38.28,5
2004,December,75000,131000,630,33,59000,57.2,55.0,121000,600,65,24.20,36.30,8
2005,January,61000,103000,510,30,40000,59.2,44.0,103000,380,60,20.20,30.30,12
2005,February,65000,106000,530,32,42000,61.3,46.0,105000,390,63,20.88,31.32,11
2005,March,74000,124000,590,34,50000,59.7,49.0,114000,470,67,23.28,34.92,10
2005,April,87000,134000,760,37,63000,64.9,58.0,124000,590,70,26.00,39.00,9
2005,May,105000,154000,810,39,76000,68.2,64.0,144000,710,73,28.32,42.48,6
2005,June,124000,174000,940,41,90000,71.2,69.0,164000,830,77,30.40,45.60,4
2005,July,142000,189000,1010,43,102000,75.1,72.0,179000,910,80,31.92,47.88,3
2005,August,159000,214000,1110,40,116000,74.3,74.0,204000,1010,84,33.44,50.16,1
2005,September,116000,184000,910,42,95000,63.0,70.0,174000,870,76,29.80,44.70,2
2005,October,100000,164000,790,38,82000,60.9,66.0,154000,750,72,27.80,41.70,7
2005,November,84000,144000,680,36,69000,58.3,62.0,134000,650,69,25.92,38.88,5
2005,December,77000,134000,640,34,61000,57.4,56.0,124000,610,66,24.60,36.90,8
2006,January,63000,106000,520,31,41000,59.4,45.0,106000,390,61,20.60,30.90,12
2006,February,67000,109000,540,33,43000,61.5,47.0,108000,400,64,21.28,31.92,11
2006,March,76000,127000,600,35,52000,59.8,50.0,117000,480,68,23.80,35.70,10
2006,April,89000,137000,770,38,65000,64.9,59.0,127000,600,71,26.48,39.72,9
2006,May,107000,157000,820,40,78000,68.2,65.0,147000,720,74,28.80,43.20,6
2006,June,126000,177000,950,42,92000,71.2,70.0,167000,840,78,30.88,46.32,4
2006,July,144000,192000,1020,44,104000,75.0,73.0,182000,920,81,32.32,48.48,3
2006,August,161000,217000,1120,41,118000,74.2,75.0,207000,1020,85,33.84,50.76,1
2006,September,118000,187000,920,43,97000,63.1,71.0,177000,880,77,30.20,45.30,2
2006,October,102000,167000,800,39,84000,61.0,67.0,157000,760,73,28.20,42.30,7
2006,November,86000,147000,690,37,71000,58.5,63.0,137000,660,70,26.32,39.48,5
2006,December,79000,137000,650,35,63000,57.6,57.0,127000,620,67,25.00,37.50,8
2007,January,65000,109000,530,32,42000,59.6,46.0,109000,400,62,21.00,31.50,12
2007,February,69000,112000,550,34,44000,61.6,48.0,111000,410,65,21.68,32.52,11
2007,March,78000,130000,610,36,54000,60.0,51.0,120000,490,69,24.20,36.30,10
2007,April,91000,140000,780,39,67000,65.0,60.0,130000,610,72,26.88,40.32,9
2007,May,109000,160000,830,41,80000,68.1,66.0,150000,730,75,29.20,43.80,6
2007,June,128000,180000,960,43,94000,71.1,71.0,170000,850,79,31.28,46.92,4
2007,July,146000,195000,1030,45,106000,74.9,74.0,185000,930,82,32.72,49.08,3
2007,August,163000,220000,1130,42,120000,74.1,76.0,210000,1030,86,34.24,51.36,1
2007,September,120000,190000,930,44,99000,63.2,72.0,180000,890,78,30.60,45.90,2
2007,October,104000,170000,810,40,86000,61.1,68.0,160000,770,74,28.60,42.90,7
2007,November,88000,150000,700,38,73000,58.7,64.0,140000,670,71,26.72,40.08,5
2007,December,81000,140000,660,36,65000,57.8,58.0,130000,630,68,25.40,38.10,8
2008,January,67000,112000,540,33,43000,59.8,47.0,112000,410,63,21.40,32.10,12
2008,February,71000,115000,560,35,45000,61.7,49.0,114000,420,66,22.08,33.12,11
2008,March,80000,133000,620,37,56000,60.1,52.0,123000,500,70,24.60,36.90,10
2008,April,93000,143000,790,40,69000,65.0,61.0,133000,620,73,27.28,40.92,9
2008,May,111000,163000,840,42,82000,68.1,67.0,153000,740,76,29.60,44.40,6
2008,June,130000,183000,970,44,96000,71.0,72.0,173000,860,80,31.68,47.52,4
2008,July,148000,198000,1040,46,108000,74.8,75.0,188000,940,83,33.12,49.68,3
2008,August,165000,223000,1140,43,122000,74.0,77.0,213000,1040,87,34.64,51.96,1
2008,September,122000,193000,940,45,101000,63.3,73.0,183000,900,79,31.00,46.50,2
2008,October,106000,173000,820,41,88000,61.2,69.0,163000,780,75,29.00,43.50,7
2008,November,90000,153000,710,39,75000,58.8,65.0,143000,680,72,27.12,40.68,5
2008,December,83000,143000,670,37,67000,58.0,59.0,133000,640,69,25.80,38.70,8
2009,January,69000,115000,550,34,44000,60.0,48.0,115000,420,64,21.80,32.70,12
2009,February,73000,118000,570,36,46000,61.8,50.0,117000,430,67,22.48,33.72,11
2009,March,82000,136000,630,38,58000,60.2,53.0,126000,510,71,25.00,37.50,10
2009,April,95000,146000,800,41,71000,65.0,62.0,136000,630,74,27.68,41.52,9
2009,May,113000,166000,850,43,84000,68.1,68.0,156000,750,77,30.00,45.00,6
2009,June,132000,186000,980,45,98000,71.0,73.0,176000,870,81,32.08,48.12,4
2009,July,150000,201000,1050,47,110000,74.7,76.0,191000,950,84,33.52,50.28,3
2009,August,167000,226000,1150,44,124000,73.9,78.0,216000,1050,88,35.04,52.56,1
2009,September,124000,196000,950,46,103000,63.4,74.0,186000,910,80,31.40,47.10,2
2009,October,108000,176000,830,42,90000,61.3,70.0,166000,790,76,29.40,44.10,7
2009,November,92000,156000,720,40,77000,58.9,66.0,146000,690,73,27.52,41.28,5
2009,December,85000,146000,680,38,69000,58.2,60.0,136000,650,70,26.20,39.30,8
2010,January,71000,118000,560,35,45000,60.2,49.0,118000,430,65,22.20,33.30,12
2010,February,75000,121000,580,37,47000,61.9,51.0,120000,440,68,22.88,34.32,11
2010,March,84000,139000,640,39,60000,60.3,54.0,129000,520,72,25.40,38.10,10
2010,April,97000,149000,810,42,73000,65.0,63.0,139000,640,75,28.08,42.12,9
2010,May,115000,169000,860,44,86000,68.1,69.0,159000,760,78,30.40,45.60,6
2010,June,134000,189000,990,46,100000,70.9,74.0,179000,880,82,32.48,48.72,4
2010,July,152000,204000,1060,48,112000,74.6,77.0,194000,960,85,33.92,50.88,3
2010,August,169000,229000,1160,45,126000,73.8,79.0,219000,1060,89,35.44,53.16,1
2010,September,126000,199000,960,47,105000,63.5,75.0,189000,920,81,31.80,47.70,2
2010,October,110000,179000,840,43,92000,61.4,71.0,169000,800,77,29.80,44.70,7
2010,November,94000,159000,730,41,79000,59.0,67.0,149000,700,74,27.92,41.88,5
2010,December,87000,149000,690,39,71000,58.4,61.0,139000,660,71,26.60,39.90,8
2011,January,73000,121000,570,36,46000,60.3,50.0,121000,440,66,22.60,33.90,12
2011,February,77000,124000,590,38,48000,62.0,52.0,123000,450,69,23.28,34.92,11
2011,March,86000,142000,650,40,62000,60.4,55.0,132000,530,73,25.80,38.70,10
2011,April,99000,152000,820,43,75000,65.0,64.0,142000,650,76,28.48,42.72,9
2011,May,117000,172000,870,45,88000,68.1,70.0,162000,770,79,30.80,46.20,6
2011,June,136000,192000,1000,47,102000,70.8,75.0,182000,890,83,32.88,49.32,4
2011,July,154000,207000,1070,49,114000,74.5,78.0,197000,970,86,34.32,51.48,3
2011,August,171000,232000,1170,46,128000,73.7,80.0,222000,1070,90,35.84,53.76,1
2011,September,128000,202000,970,48,107000,63.6,76.0,192000,930,82,32.20,48.30,2
2011,October,112000,182000,850,44,94000,61.5,72.0,172000,810,78,30.20,45.30,7
2011,November,96000,162000,740,42,81000,59.1,68.0,152000,710,75,28.32,42.48,5
2011,December,89000,152000,700,40,73000,58.6,62.0,142000,670,72,27.00,40.50,8
2012,January,75000,124000,580,37,47000,60.5,51.0,124000,450,67,23.00,34.50,12
2012,February,79000,127000,600,39,49000,62.2,53.0,126000,460,70,23.68,35.52,11
2012,March,88000,145000,660,41,64000,60.6,56.0,135000,540,74,26.20,39.30,10
2012,April,101000,155000,830,44,77000,65.0,65.0,145000,660,77,28.88,43.32,9
2012,May,119000,175000,880,46,90000,68.0,71.0,165000,780,80,31.20,46.80,6
2012,June,138000,195000,1010,48,104000,70.8,76.0,185000,900,84,33.28,49.92,4
2012,July,156000,210000,1080,50,116000,74.3,79.0,200000,980,87,34.72,52.08,3
2012,August,173000,235000,1180,47,130000,73.6,81.0,225000,1080,91,36.24,54.36,1
2012,September,130000,205000,980,49,109000,63.7,77.0,195000,940,83,32.60,48.90,2
2012,October,114000,185000,860,45,96000,61.6,73.0,175000,820,79,30.60,45.90,7
2012,November,98000,165000,750,43,83000,59.3,69.0,155000,720,76,28.72,43.08,5
2012,December,91000,155000,710,41,75000,58.7,63.0,145000,680,73,27.40,41.10,8
2013,January,77000,127000,590,38,48000,60.6,52.0,127000,460,68,23.40,35.10,12
2013,February,81000,130000,610,40,50000,62.3,54.0,129000,470,71,24.08,36.12,11
2013,March,90000,148000,670,42,66000,60.8,57.0,138000,550,75,26.60,39.90,10
2013,April,103000,158000,840,45,79000,65.0,66.0,148000,670,78,29.28,43.92,9
2013,May,121000,178000,890,47,92000,68.0,72.0,168000,790,81,31.60,47.40,6
2013,June,140000,198000,1020,49,106000,70.7,77.0,188000,910,85,33.68,50.52,4
2013,July,158000,213000,1090,51,118000,74.2,80.0,203000,990,88,35.12,52.68,3
2013,August,175000,238000,1190,48,132000,73.5,82.0,228000,1090,92,36.64,54.96,1
2013,September,132000,208000,990,50,111000,63.8,78.0,198000,950,84,33.00,49.50,2
2013,October,116000,188000,870,46,98000,61.7,74.0,178000,830,80,31.00,46.50,7
2013,November,100000,168000,760,44,85000,59.4,70.0,158000,730,77,29.12,43.68,5
2013,December,93000,158000,720,42,77000,58.8,64.0,148000,690,74,27.80,41.70,8
2014,January,79000,130000,600,39,49000,60.7,53.0,130000,470,69,23.80,35.70,12
2014,February,83000,133000,620,41,51000,62.4,55.0,132000,480,72,24.48,36.72,11
2014,March,92000,151000,680,43,68000,60.9,58.0,141000,560,76,27.00,40.50,10
2014,April,105000,161000,850,46,81000,65.0,67.0,151000,680,79,29.68,44.52,9
2014,May,123000,181000,900,48,94000,68.0,73.0,171000,800,82,32.00,48.00,6
2014,June,142000,201000,1030,50,108000,70.6,78.0,191000,920,86,34.08,51.12,4
2014,July,160000,216000,1100,52,120000,74.1,81.0,206000,1000,89,35.52,53.28,3
2014,August,177000,241000,1200,49,134000,73.4,83.0,231000,1100,93,37.04,55.56,1
2014,September,134000,211000,1000,51,113000,63.9,79.0,201000,960,85,33.40,50.10,2
2014,October,118000,191000,880,47,100000,61.8,75.0,181000,840,81,31.40,47.10,7
2014,November,102000,171000,770,45,87000,59.5,71.0,161000,740,78,29.52,44.28,5
2014,December,95000,161000,730,43,79000,58.9,65.0,151000,700,75,28.20,42.30,8
2015,January,81000,133000,610,40,50000,60.8,54.0,133000,480,70,24.20,36.30,12
2015,February,85000,136000,630,42,52000,62.5,56.0,135000,490,73,24.88,37.32,11
2015,March,94000,154000,690,44,70000,61.0,59.0,144000,570,77,27.40,41.10,10
2015,April,107000,164000,860,47,83000,65.0,68.0,154000,690,80,30.08,45.12,9
2015,May,125000,184000,910,49,96000,68.0,74.0,174000,810,83,32.40,48.60,6
2015,June,144000,204000,1040,51,110000,70.5,79.0,194000,930,87,34.48,51.72,4
2015,July,162000,219000,1110,53,122000,74.0,82.0,209000,1010,90,35.92,53.88,3
2015,August,179000,244000,1210,50,136000,73.3,84.0,234000,1110,94,37.44,56.16,1
2015,September,136000,214000,1010,52,115000,64.0,80.0,204000,970,86,33.80,50.70,2
